url_sub_page,parsed_ingredients
https://www.allrecipes.com/recipe/10331/moms-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.75 cup packed brown sugar
.25 cup white sugar
1 (3.5 ounce) package instant vanilla pudding mix
2 eggs
1 teaspoon vanilla extract
2.25 cups all-purpose flour"
https://www.allrecipes.com/recipe/25100/jam-filled-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
.5 cup white sugar
2 egg yolks
1.75 cups all-purpose flour"
https://www.allrecipes.com/recipe/40180/cranberry-orange-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup white sugar
.5 cup packed brown sugar
1 egg
1 teaspoon grated orange zest
2 tablespoons orange juice
2.5 cups all-purpose flour
.5 teaspoon baking soda
.5 teaspoon salt
2 cups chopped cranberries
.5 cup chopped walnuts (optional)
.5 teaspoon grated orange zest"
https://www.allrecipes.com/recipe/16754/best-peanut-butter-cookies-ever/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups peanut butter
2 cups white sugar
2 eggs
2 teaspoons baking soda"
https://www.allrecipes.com/recipe/9832/no-bake-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.75 cups white sugar
.5 cup milk
.5 cup butter
4 tablespoons unsweetened cocoa powder
.5 cup crunchy peanut butter"
https://www.allrecipes.com/recipe/25091/lemon-square-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups sifted all-purpose flour
1 cup confectioners sugar
1 cup butter
4 eggs
2 cups white sugar
1 teaspoon baking powder"
https://www.allrecipes.com/recipe/68436/vegan-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups unbleached all-purpose flour
2 cups white sugar
.75 cup unsweetened cocoa powder
1 teaspoon baking powder
1 teaspoon salt
1 cup water"
https://www.allrecipes.com/recipe/9330/molasses-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups shortening
2 cups white sugar
.5 cup molasses
2 eggs
4 cups all-purpose flour
4 teaspoons baking soda
2 teaspoons ground cinnamon
1 teaspoon ground cloves"
https://www.allrecipes.com/recipe/11063/deep-dish-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
1.5 cups white sugar
1.5 teaspoons vanilla extract
3 eggs
.75 cup all-purpose flour
.5 cup unsweetened cocoa powder"
https://www.allrecipes.com/recipe/10602/no-bake-chocolate-oat-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.5 cup packed brown sugar
1 teaspoon vanilla extract
3 cups quick cooking oats"
https://www.allrecipes.com/recipe/10757/moms-ginger-snaps/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup packed brown sugar
.75 cup vegetable oil
.25 cup molasses
1 egg
2 cups all-purpose flour
2 teaspoons baking soda
.25 teaspoon salt
.5 teaspoon ground cloves
1 teaspoon ground cinnamon"
https://www.allrecipes.com/recipe/10365/grandmas-gingersnap-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups sifted all-purpose flour
1 tablespoon ground ginger
2 teaspoons baking soda
1 teaspoon ground cinnamon
.5 teaspoon salt
.75 cup shortening
1 cup white sugar
1 egg"
https://www.allrecipes.com/recipe/17241/biscotti/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup vegetable oil
1 cup white sugar
3.25 cups all-purpose flour
3 eggs
1 tablespoon baking powder"
https://www.allrecipes.com/recipe/11620/oatmeal-raisin-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"3 eggs
1 cup raisins
1 teaspoon vanilla extract
1 cup butter
1 cup packed brown sugar
1 cup white sugar
2.5 cups all-purpose flour
1 teaspoon ground cinnamon
2 teaspoons baking soda"
https://www.allrecipes.com/recipe/11116/cream-cheese-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
1 cup butter
1 (3 ounce) package cream cheese
.5 teaspoon salt
.5 teaspoon almond extract
.5 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10269/shortbread-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups butter
1 cup white sugar"
https://www.allrecipes.com/recipe/10477/chocolate-mint-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
1.5 cups packed brown sugar
2 tablespoons water
2 cups semisweet chocolate chips
2 eggs
2.5 cups all-purpose flour
1.25 teaspoons baking soda"
https://www.allrecipes.com/recipe/9311/molasses-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup margarine
1 cup white sugar
1 egg
.25 cup molasses
2 cups all-purpose flour
2 teaspoons baking soda
.5 teaspoon salt
1 teaspoon ground cinnamon
.5 teaspoon ground cloves"
https://www.allrecipes.com/recipe/9329/gingerbread-men/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (3.5 ounce) package cook and serve butterscotch pudding mix
.5 cup butter
.5 cup packed brown sugar
1 egg
1.5 cups all-purpose flour
.5 teaspoon baking soda"
https://www.allrecipes.com/recipe/10025/white-chocolate-macadamia-nut-cookies-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.75 cup packed light brown sugar
.5 cup white sugar
2 eggs
.5 teaspoon vanilla extract
.5 teaspoon almond extract
2.5 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt"
https://www.allrecipes.com/recipe/9959/marshmallow-treats/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,.25 cup butter
https://www.allrecipes.com/recipe/10711/soft-chocolate-chip-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.5 cup shortening
.75 cup packed brown sugar
.5 cup white sugar
1 egg
1 teaspoon vanilla extract
1 teaspoon baking soda
.25 teaspoon salt"
https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup all-purpose flour
.5 cup unsalted butter at room temperature
.25 cup confectioners sugar
.25 teaspoon vanilla extract
.25 teaspoon salt
2 large eggs
1 large egg yolk
1 cup white sugar
2 tablespoons all-purpose flour
.25 cup freshly squeezed lemon juice
1 tablespoon freshly grated lemon zest"
https://www.allrecipes.com/recipe/9806/peanut-butter-kiss-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
1 cup peanut butter
1 egg"
https://www.allrecipes.com/recipe/9910/one-bowl-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"4 (1 ounce) squares unsweetened chocolate
.75 cup butter
2 cups white sugar
3 eggs
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/11504/chewy-peanut-butter-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup peanut butter
.33 cup margarine
.67 cup white sugar
.5 cup packed brown sugar
2 egg
.5 teaspoon vanilla extract
1 cup all-purpose flour"
https://www.allrecipes.com/recipe/25059/frosted-banana-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
1.5 cups white sugar
2 eggs
1 cup sour cream
1 teaspoon vanilla extract
2 cups all-purpose flour
1 teaspoon baking soda
.25 teaspoon salt"
https://www.allrecipes.com/recipe/11624/snickerdoodles-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
1.5 cups white sugar
2 eggs
2.75 cups all-purpose flour
1 teaspoon baking soda
2 teaspoons cream of tartar
.5 teaspoon salt"
https://www.allrecipes.com/recipe/15347/caramel-shortbread-squares/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".67 cup butter
.25 cup white sugar
1.25 cups all-purpose flour
.5 cup butter
.5 cup packed light brown sugar
2 tablespoons light corn syrup"
https://www.allrecipes.com/recipe/15171/buckeye-balls-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups creamy peanut butter
.5 cup butter
1 teaspoon vanilla extract
4 cups sifted confectioners sugar"
https://www.allrecipes.com/recipe/23337/cake-mix-cookies-viii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (18.25 ounce) package chocolate cake mix
.5 cup butter"
https://www.allrecipes.com/recipe/161701/black-bean-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (15.5 ounce) can black beans
3 eggs
3 tablespoons vegetable oil
.25 cup cocoa powder
1 pinch salt
1 teaspoon vanilla extract
.75 cup white sugar"
https://www.allrecipes.com/recipe/10926/cake-mix-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,2 eggs
https://www.allrecipes.com/recipe/11520/the-whole-jar-of-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup white sugar
1 cup packed brown sugar
2 eggs
1 egg yolk
2 teaspoons vanilla extract
1 (18 ounce) jar peanut butter
2 cups all-purpose flour
1 teaspoon baking soda"
https://www.allrecipes.com/recipe/10642/caramel-filled-chocolate-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup white sugar
1 cup packed brown sugar
2 eggs
2 teaspoons vanilla extract
2.25 cups all-purpose flour
1 teaspoon baking soda
.75 cup unsweetened cocoa powder
1 cup chopped walnuts"
https://www.allrecipes.com/recipe/10337/beths-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".67 cup butter flavored shortening
.67 cup butter
1 cup white sugar
1 cup packed light brown sugar
2 eggs
1 tablespoon vanilla extract
3.5 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon salt"
https://www.allrecipes.com/recipe/146819/spooky-witches-fingers/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup confectioners sugar
1 egg
1 teaspoon almond extract
1 teaspoon vanilla extract
2.67 cups all-purpose flour
1 teaspoon baking powder
1 teaspoon salt"
https://www.allrecipes.com/recipe/63959/magic-cookie-bars-from-eagle-brand/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter or margarine
1.5 cups graham cracker crumbs
1 (14 ounce) can EAGLE BRAND® Sweetened Condensed Milk
2 cups semisweet chocolate morsels"
https://www.allrecipes.com/recipe/10462/blueberry-crumb-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
1 teaspoon baking powder
3 cups all-purpose flour
1 cup shortening
1 egg
.25 teaspoon salt (optional)
1 pinch ground cinnamon (optional)
4 cups fresh blueberries"
https://www.allrecipes.com/recipe/16212/chocolate-mint-candies-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
1.5 cups brown sugar
2 tablespoons water
2 cups semisweet chocolate chips
2 eggs
2.5 cups all-purpose flour
1.25 teaspoons baking soda"
https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup white sugar
1 cup packed brown sugar
2 eggs
1 teaspoon vanilla extract
2 cups all-purpose flour
2.5 cups rolled oats
.5 teaspoon salt
1 teaspoon baking powder
1 teaspoon baking soda
2 cups semisweet chocolate chips
4 ounces milk chocolate"
https://www.allrecipes.com/recipe/11458/lemon-pie-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.25 cups all-purpose flour
.5 cup confectioners sugar
1 cup butter
4 eggs
1.5 cups white sugar"
https://www.allrecipes.com/recipe/10064/magic-peanut-butter-middles/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups all-purpose flour
.5 cup unsweetened cocoa powder
.5 teaspoon baking soda
.5 cup white sugar
.5 cup packed brown sugar
.5 cup soft margarine
.25 cup peanut butter
1 teaspoon vanilla extract
1 egg"
https://www.allrecipes.com/recipe/15482/white-chocolate-chip-oatmeal-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup light brown sugar
1 cup white sugar
2 eggs
2 teaspoons vanilla extract
3 cups all-purpose flour
1 teaspoon baking powder
1 teaspoon baking soda
1 teaspoon salt
1.5 cups rolled oats"
https://www.allrecipes.com/recipe/9907/oatmeal-chocolate-chip-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
.75 cup packed brown sugar
.75 cup white sugar
2 eggs
1.5 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon salt"
https://www.allrecipes.com/recipe/15262/cranberry-hootycreeks/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".625 cup all-purpose flour
.5 cup rolled oats
.5 cup all-purpose flour
.5 teaspoon baking soda
.5 teaspoon salt
.33 cup packed brown sugar
.33 cup white sugar
.5 cup dried cranberries"
https://www.allrecipes.com/recipe/16607/cheesecake-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (19.8 ounce) package brownie mix
1 (8 ounce) package cream cheese"
https://www.allrecipes.com/recipe/10874/cowboy-oatmeal-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups all-purpose flour
.5 teaspoon baking powder
1 teaspoon baking soda
.5 teaspoon salt
.5 cup margarine
.5 cup vegetable oil
1 cup packed brown sugar
1 cup white sugar
2 eggs"
https://www.allrecipes.com/recipe/9909/buckeyes-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups peanut butter
1 cup butter
.5 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10666/chocolate-chocolate-chip-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups all-purpose flour
.5 cup cocoa powder
1 teaspoon baking soda
1 cup softened butter
.75 cup white sugar
.75 cup packed brown sugar
2 eggs"
https://www.allrecipes.com/recipe/10721/mrs-siggs-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.5 cup butter flavored shortening
1 cup white sugar
1 cup packed brown sugar
2 eggs
1 cup creamy peanut butter
1 teaspoon vanilla extract
2.5 cups all-purpose flour"
https://www.allrecipes.com/recipe/15469/peanut-butter-chip-chocolate-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1.5 cups white sugar
2 eggs
2 teaspoons vanilla extract
2 cups all-purpose flour
.67 cup unsweetened cocoa powder
.75 teaspoon baking soda"
https://www.allrecipes.com/recipe/10552/giant-chocolate-chip-cookie/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.75 cup white sugar
.75 cup packed brown sugar
1 teaspoon vanilla extract
2 eggs
2.25 cups all-purpose flour
1 teaspoon salt
1 teaspoon baking soda"
https://www.allrecipes.com/recipe/15489/white-chocolate-macadamia-nut-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.75 cup white sugar
1 egg
1 teaspoon vanilla extract
1.25 cups all-purpose flour
.5 teaspoon baking soda
.5 teaspoon salt
8 ounces white chocolate"
https://www.allrecipes.com/recipe/69235/gobble-up-granola-snacks/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.5 cups crispy rice cereal
2 cups quick-cooking oats
.5 cup raisins
.5 cup packed brown sugar
.5 cup light corn syrup"
https://www.allrecipes.com/recipe/17291/white-chocolate-chocolate-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup unsalted butter
1 cup white sugar
.75 cup packed brown sugar
2 eggs
1.25 cups unsweetened cocoa powder
1.75 cups all-purpose flour"
https://www.allrecipes.com/recipe/54787/chunky-cheesecake-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (8 ounce) package cream cheese
.25 cup white sugar
1 egg
1 cup semisweet chocolate chips
.25 cup butter
1 cup semisweet chocolate chips
.5 cup white sugar
2 eggs
.67 cup all-purpose flour"
https://www.allrecipes.com/recipe/11032/oatmeal-craisin-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup packed brown sugar
1 cup white sugar
2 eggs
1 teaspoon vanilla extract
2 cups quick cooking oats
2 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon baking powder
1 teaspoon salt"
